n,l
0,0.15384605738989598
1,-0.13017773182632028
2,-0.07919928837599863
3,0.0378832498549251
4,0.03628857647227155
5,-0.008988829902526946
6,-0.015341620684080905
7,0.0010949897949164501
8,0.006066596579102636
9,0.0005091650960681127
10,-0.0022585723575322208
11,-0.0005475259326736877
12,0.0007795310407251877
13,0.0003248778174910138
14,-0.00025627313083429013
15,-0.00017163331646683356
16,6.400970195547162E-05
17,6.679431285940914E-05
18,-2.440455292332194E-05
19,-4.0512398372440634E-05
20,-9.002356747906618E-06
