n,l
0,0.24333151178916038
1,-0.03171973043009727
2,-0.013772114184243683
3,0.0014277171789621895
4,0.002929939256482912
5,0.0016461598164506373
6,0.001070973065892114
7,0.0011551303667166502
8,0.0014158739758010181
9,0.0016370458611852231
10,0.001810010287908679
11,0.001957653796777824
12,0.00211042812457602
13,0.0022663053340981963
14,0.0024331833812345927
15,0.0026001064677339614
16,0.0027748532521214182
17,0.0029481647321054276
18,0.0031295546457205292
19,0.003310061299827911
