n,l
0,-0.07999995179711321
1,0.0640001085165409
2,0.07360019038735395
3,-0.08191971112894217
4,0.017280411502311757
5,0.017715755757684797
6,-0.013685043279557621
7,0.001540994081195467
8,0.002907422669058752
9,-0.0017050651157991255
10,4.0171095723033956E-05
11,0.0003999340477506565
12,-0.0001811808051622442
13,-1.1760228887955509E-05
14,5.154842916184032E-05
15,-1.4548116532809041E-05
16,-9.063784345839147E-08
17,9.390706517523024E-06
18,2.7489027521930357E-06
19,4.120920373685562E-06
